Date,GSPC
1/31/85,179.630005
2/28/85,181.179993
3/29/85,180.660004
4/30/85,179.830002
5/31/85,189.550003
6/28/85,191.850006
7/31/85,190.919998
8/30/85,188.630005
9/30/85,182.080002
10/31/85,189.820007
11/29/85,202.169998
12/31/85,211.279999
1/31/86,211.779999
2/28/86,226.919998
3/31/86,238.899994
4/30/86,235.520004
5/30/86,247.350006
6/30/86,250.839996
7/31/86,236.119995
8/29/86,252.929993
9/30/86,231.320007
10/31/86,243.979996
11/28/86,249.220001
12/31/86,242.169998
1/30/87,274.079987
2/27/87,284.200012
3/31/87,291.700012
4/30/87,288.359985
5/29/87,290.100006
6/30/87,304
7/31/87,318.660004
8/31/87,329.799988
9/30/87,321.829987
10/30/87,251.789993
11/30/87,230.300003
12/31/87,247.080002
1/29/88,257.070007
2/29/88,267.820007
3/31/88,258.890015
4/29/88,261.329987
5/31/88,262.160004
6/30/88,273.5
7/29/88,272.019989
8/31/88,261.519989
9/30/88,271.910004
10/31/88,278.970001
11/30/88,273.700012
12/30/88,277.720001
1/31/89,297.470001
2/28/89,288.859985
3/31/89,294.869995
4/28/89,309.640015
5/31/89,320.519989
6/30/89,317.980011
7/31/89,346.079987
8/31/89,351.450012
9/29/89,349.149994
10/31/89,340.359985
11/30/89,345.98999
12/29/89,353.399994
1/31/90,329.079987
2/28/90,331.890015
3/30/90,339.940002
4/30/90,330.799988
5/31/90,361.230011
6/29/90,358.019989
7/31/90,356.149994
8/31/90,322.559998
9/28/90,306.049988
10/31/90,304
11/30/90,322.220001
12/31/90,330.220001
1/31/91,343.929993
2/28/91,367.070007
3/28/91,375.220001
4/30/91,375.339996
5/31/91,389.829987
6/28/91,371.160004
7/31/91,387.809998
8/30/91,395.429993
9/30/91,387.859985
10/31/91,392.450012
11/29/91,375.220001
12/31/91,417.089996
1/31/92,408.779999
2/28/92,412.700012
3/31/92,403.690002
4/30/92,414.950012
5/29/92,415.350006
6/30/92,408.140015
7/31/92,424.209991
8/31/92,414.029999
9/30/92,417.799988
10/30/92,418.679993
11/30/92,431.350006
12/31/92,435.709991
1/29/93,438.779999
2/26/93,443.380005
3/31/93,451.670013
4/30/93,440.190002
5/28/93,450.190002
6/30/93,450.529999
7/30/93,448.130005
8/31/93,463.559998
9/30/93,458.929993
10/29/93,467.829987
11/30/93,461.790009
12/31/93,466.450012
1/31/94,481.609985
2/28/94,467.140015
3/31/94,445.769989
4/29/94,450.910004
5/31/94,456.5
6/30/94,444.269989
7/29/94,458.26001
8/31/94,475.48999
9/30/94,462.709991
10/31/94,472.350006
11/30/94,453.690002
12/30/94,459.269989
1/31/95,470.420013
2/28/95,487.390015
3/31/95,500.709991
4/28/95,514.710022
5/31/95,533.400024
6/30/95,544.75
7/31/95,562.059998
8/31/95,561.880005
9/29/95,584.409973
10/31/95,581.5
11/30/95,605.369995
12/29/95,615.929993
1/31/96,636.02002
2/29/96,640.429993
3/29/96,645.5
4/30/96,654.169983
5/31/96,669.119995
6/28/96,670.630005
7/31/96,639.950012
8/30/96,651.98999
9/30/96,687.330017
10/31/96,705.27002
11/29/96,757.02002
12/31/96,740.73999
1/31/97,786.159973
2/28/97,790.820007
3/31/97,757.119995
4/30/97,801.340027
5/30/97,848.280029
6/30/97,885.140015
7/31/97,954.309998
8/29/97,899.469971
9/30/97,947.280029
10/31/97,914.619995
11/28/97,955.400024
12/31/97,970.429993
1/30/98,980.280029
2/27/98,1049.339966
3/31/98,1101.75
4/30/98,1111.75
5/29/98,1090.819946
6/30/98,1133.839966
7/31/98,1120.670044
8/31/98,957.280029
9/30/98,1017.01001
10/30/98,1098.670044
11/30/98,1163.630005
12/31/98,1229.22998
1/29/99,1279.640015
2/26/99,1238.329956
3/31/99,1286.369995
4/30/99,1335.180054
5/28/99,1301.839966
6/30/99,1372.709961
7/30/99,1328.719971
8/31/99,1320.410034
9/30/99,1282.709961
10/29/99,1362.930054
11/30/99,1388.910034
12/31/99,1469.25
1/31/00,1394.459961
